source,target,type,weight
394,45876,directed,1
262,46459,directed,1
262,46321,directed,1
395,46494,directed,1
396,46332,directed,1
397,46495,directed,1
397,46496,directed,1
397,46497,directed,1
397,46466,directed,1
397,46498,directed,1
397,46499,directed,1
397,46500,directed,1
397,46501,directed,1
397,46502,directed,1
397,46503,directed,1
397,46504,directed,1
397,45836,directed,1
397,46012,directed,1
398,46505,directed,1
398,46506,directed,1
398,46507,directed,1
340,340,directed,1
399,46508,directed,1
399,46509,directed,1
399,46510,directed,1
399,46511,directed,1
399,45876,directed,1
400,46512,directed,1
401,5873,directed,1
402,46128,directed,1
403,46513,directed,1
403,46514,directed,1
404,45898,directed,1
405,46515,directed,1
406,46031,directed,1
262,46321,directed,1
407,46516,directed,1
407,46517,directed,1
407,46518,directed,1
407,46519,directed,1
408,45876,directed,1
409,46520,directed,1
410,46521,directed,1
369,45836,directed,1
262,46522,directed,1
262,46321,directed,1
411,46523,directed,1
412,46524,directed,1
377,45876,directed,1
413,46525,directed,1
413,46526,directed,1
413,46527,directed,1
413,46528,directed,1
413,46529,directed,1
413,46530,directed,1
413,46531,directed,1
413,46532,directed,1
413,46533,directed,1
414,46408,directed,1
316,45876,directed,1
316,46534,directed,1
415,46535,directed,1
369,45845,directed,1
365,46323,directed,1
365,28441,directed,1
365,46459,directed,1
365,46460,directed,1
266,46323,directed,1
266,21609,directed,1
266,46536,directed,1
224,46537,directed,1
416,46128,directed,1
417,46434,directed,1
265,46128,directed,1
348,46538,directed,1
228,46338,directed,1
228,46539,directed,1
228,46325,directed,1
228,46319,directed,1
228,46445,directed,1
228,45876,directed,1
228,46338,directed,1
418,46540,directed,1
418,46520,directed,1
419,46274,directed,1
228,46338,directed,1
228,46320,directed,1
228,46325,directed,1
228,46319,directed,1
228,46445,directed,1
228,45876,directed,1
228,46338,directed,1
410,46541,directed,1
410,46542,directed,1
228,46338,directed,1
228,46437,directed,1
228,46445,directed,1
228,46325,directed,1
228,46319,directed,1
228,45876,directed,1
228,46338,directed,1
420,46543,directed,1
421,46544,directed,1
422,46545,directed,1
422,46546,directed,1
423,46344,directed,1
423,2168,directed,1
424,46547,directed,1
425,46548,directed,1
228,46325,directed,1
228,45876,directed,1
228,46325,directed,1
426,46549,directed,1
427,46504,directed,1
260,46550,directed,1
228,46319,directed,1
228,46551,directed,1
228,46552,directed,1
228,45876,directed,1
228,46319,directed,1
428,46553,directed,1
348,46554,directed,1
348,46433,directed,1
429,46555,directed,1
430,46556,directed,1
431,46557,directed,1
431,46558,directed,1
228,46319,directed,1
228,46325,directed,1
